manufacturer;name;category;subcategory;kgCO2eq (total);use (%);Yearly TEC (kWh);Lifetime;Use Location;date;sources;error (%);Manufacturing;Weight;Assembly Location;Screen size;Server Type;HDD/SSD;RAM;CPU;U;;;;;;;;;;;;;;
Dell;Dell OptiPlex 3050 Micro Form Factor;Workplace;Desktop;258;35,70%;42,27;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-3050-mff.pdf;21,71%;59,30%;2,82;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex 3050 Small Form Factor;Workplace;Desktop;419;46,00%;90,2;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-3050-sff.pdf;17,42%;47,00%;6,3;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex 3050 Tower;Workplace;Desktop;432;45,00%;90,74;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-3050-tower.pdf;18,29%;48,00%;6,1;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex 3060 Micro Form Factor;Workplace;Desktop;244;32,00%;35,6;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-3060-mff.pdf;22,54%;62,00%;2,82;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex 3060 Small Form Factor;Workplace;Desktop;414;43,00%;82,76;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-3060-sff.pdf;19,32%;51,00%;5,24;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex 3060 Tower;Workplace;Desktop;483;49,00%;111,72;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-3060-tower.pdf;17,81%;45,00%;6,5;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex 5050 Micro Form Factor;Workplace;Desktop;259;35,60%;42,27;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-5050-mff.pdf;21,62%;59,50%;2,82;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex 5050 Small Form Factor;Workplace;Desktop;411;46,00%;87,675;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-5050-sff.pdf;17,76%;47,00%;6,3;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex 5050 Tower;Workplace;Desktop;489;51,00%;117,35;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-5050-tower.pdf;16,77%;43,00%;6,1;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex 5055 Small Form Factor;Workplace;Desktop;436;47,00%;95,2;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-5055-sff.pdf;17,89%;47,00%;5,24;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex 5055 Tower;Workplace;Desktop;483;50,00%;112,77;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-5055-tower.pdf;17,18%;44,00%;6,7;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex 5060 Micro Form Factor;Workplace;Desktop;262;35,00%;42,27;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-5060-mff.pdf;22,14%;60,00%;2,82;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex 5060 Small Form Factor;Workplace;Desktop;425;48,70%;96,48;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-5060-sff.pdf;16,94%;46,00%;5,24;EU;;;;;;;;;;;;;;;;;;;;
