manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,gwp_eol_ratio
HP,HP E24 G4 FHD Monitor,Workplace,Monitor,565.0,,36.83,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524845.pdf,0.2124,,5.98,China,23.8,,,,,,2022-09-15,HP Auto Parser,,
HP,HP E24 G4 HO,Workplace,Monitor,545.0,,36.83,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524846.pdf,0.2202,,3.64,China,23.8,,,,,,2022-09-15,HP Auto Parser,,
HP,HP E24 G4 HO DUAL,Workplace,Monitor,545.0,,36.83,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524847.pdf,0.2202,,3.64,China,23.8,,,,,,2022-09-15,HP Auto Parser,,
HP,HP Zhan 86 Pro G2 MT Business PC,Workplace,Workstation,695.0,,92.8,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524607.pdf,0.2662,,6.1,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP 240 G8 Notebook PC,Workplace,Laptop,320.0,,14.33,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525054.pdf,0.1719,,1.8,China,14.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP 245 G8 Notebook PC,Workplace,Laptop,285.0,,22.9,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525049.pdf,0.193,,1.83,China,14.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP 246 G8 Notebook PC,Workplace,Laptop,320.0,,14.33,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525055.pdf,0.1719,,1.8,China,14.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP 250 G8 Notebook PC,Workplace,Laptop,360.0,,24.75,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525051.pdf,0.1806,,2.29,China,15.6,,,,,,2022-09-15,HP Auto Parser,,
HP,HP 255 G8 Notebook PC,Workplace,Laptop,350.0,,21.38,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525052.pdf,0.1857,,2.29,China,15.6,,,,,,2022-09-15,HP Auto Parser,,
HP,HP 256 G8 Notebook PC,Workplace,Laptop,360.0,,24.75,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525053.pdf,0.1806,,2.29,China,15.6,,,,,,2022-09-15,HP Auto Parser,,
